run_id,phase,optimizer,lr,momentum,weight_decay,epochs,test_accuracy,train_time_s,final_train_loss,final_train_acc
0,baseline,sgd,0.01,0.5,0.0,5,86.2900,82.4,0.3944,85.54
1,optimizer_sweep,adam,0.01,0.0,0.0,5,84.7600,83.7,0.4510,83.65
2,optimizer_sweep,adamw,0.01,0.0,0.0,5,84.3400,83.8,0.4300,84.31
3,optimizer_sweep,rmsprop,0.01,0.0,0.0,5,82.9400,82.3,0.4783,82.69
4,lr_sweep,sgd,0.1,0.5,0.0,5,87.2800,83.1,0.3433,87.30
5,lr_sweep,sgd,0.001,0.5,0.0,5,76.7300,82.4,0.6604,75.71
6,lr_sweep,sgd,0.0001,0.5,0.0,5,60.8200,83.6,1.3621,56.57
7,lr_sweep,adam,0.1,0.0,0.0,5,10.0000,84.0,2.3115,10.01
8,lr_sweep,adam,0.01,0.0,0.0,5,85.0400,88.1,0.4488,83.60
9,lr_sweep,adam,0.001,0.0,0.0,5,88.9300,84.9,0.3156,88.34
10,lr_sweep,adam,0.0001,0.0,0.0,5,82.9300,83.6,0.4928,81.84
11,lr_sweep,adamw,0.1,0.0,0.0,5,10.0000,83.5,2.3117,10.03
12,lr_sweep,adamw,0.01,0.0,0.0,5,85.3200,83.2,0.4530,83.35
13,lr_sweep,adamw,0.001,0.0,0.0,5,89.3200,83.4,0.3187,88.31
14,lr_sweep,adamw,0.0001,0.0,0.0,5,83.0900,83.4,0.4914,81.95
15,lr_sweep,rmsprop,0.1,0.0,0.0,5,10.0000,83.2,2.3123,10.05
16,lr_sweep,rmsprop,0.01,0.0,0.0,5,10.0000,83.4,2.3035,10.10
17,lr_sweep,rmsprop,0.001,0.0,0.0,5,87.7400,82.9,0.3378,87.56
18,lr_sweep,rmsprop,0.0001,0.0,0.0,5,84.3400,83.0,0.4741,82.62
19,momentum_sweep,sgd,0.01,0.0,0.0,5,85.0700,82.0,0.4374,83.97
20,momentum_sweep,sgd,0.01,0.9,0.0,5,87.9400,82.8,0.3288,87.83
21,momentum_sweep,sgd,0.01,0.99,0.0,5,47.8600,82.6,1.3402,48.63
22,weight_decay_sweep,adam,0.001,0.0,0.0001,5,88.2600,82.9,0.3316,87.89
23,weight_decay_sweep,adam,0.001,0.0,0.001,5,88.8100,83.4,0.3326,87.83
24,weight_decay_sweep,adamw,0.001,0.0,0.0001,5,89.0200,83.3,0.3152,88.36
25,weight_decay_sweep,adamw,0.001,0.0,0.001,5,88.2500,87.1,0.3336,87.72
